research_field,exception_count
Investigative Techniques,9529
Nervous System,9070
Genetic Phenomena,9010
Eukaryota,8014
Information Science,6486
Cells,4665
Chemical Phenomena,4464
"Amino Acids, Peptides, and Proteins",3341
Environment and Public Health,2765
Natural Science Disciplines,2569
"Health Care Quality, Access, and Evaluation",2460
Metabolism,2032
[OBSOLETE] Metabolic Phenomena,2032
Heterocyclic Compounds,1777
Mathematical Concepts,999
Diagnosis,567
Cell Physiological Phenomena,566
Physiological Phenomena,454
Persons,432
"Nucleic Acids, Nucleotides, and Nucleosides",419
Biological Phenomena,328
Enzymes and Coenzymes,311
Psychological Phenomena,310
Infections,305
Tissues,292
Viruses,283
Biological Factors,270
Cardiovascular System,249
Respiratory Tract Diseases,222
Hemic and Immune Systems,202
Physical Phenomena,186
Macromolecular Substances,182
Musculoskeletal and Neural Physiological Phenomena,176
Bacteria,163
Neoplasms,146
Behavior and Behavior Mechanisms,142
Chemical Actions and Uses,141
Geographic Locations,122
Musculoskeletal System,106
"Technology, Industry, and Agriculture",99
Reproductive and Urinary Physiological Phenomena,87
Social Sciences,85
Health Services Administration,81
Microbiological Phenomena,81
Organic Chemicals,75
Embryonic Structures,70
Digestive System,67
Therapeutics,67
Nervous System Diseases,62
Inorganic Chemicals,61
"Pathological Conditions, Signs and Symptoms",61
Fluids and Secretions,51
Humanities,51
Digestive System Diseases,48
Lipids,46
Nutritional and Metabolic Diseases,46
"Health Care Facilities, Manpower, and Services",41
Health Occupations,40
Immune System Diseases,40
Skin and Connective Tissue Diseases,37
Animal Diseases,34
Endocrine System,34
Behavioral Disciplines and Activities,32
Ocular Physiological Phenomena,32
Respiratory System,31
Complex Mixtures,30
Human Activities,29
"Hormones, Hormone Substitutes, and Hormone Antagonists",27
Food and Beverages,26
Population Characteristics,26
Health Care Economics and Organizations,23
Hemic and Lymphatic Diseases,23
Sense Organs,19
Immune System Phenomena,18
Digestive System and Oral Physiological Phenomena,16
Eye Diseases,16
"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",15
Stomatognathic Diseases,15
Circulatory and Respiratory Physiological Phenomena,14
Plant Structures,13
Cardiovascular Diseases,12
Integumentary System,12
Mental Disorders,12
Bacterial Structures,10
Endocrine System Diseases,9
Otorhinolaryngologic Diseases,9
Carbohydrates,8
Urogenital Diseases,8
Plant Physiological Phenomena,7
Polycyclic Compounds,7
Body Regions,6
Equipment and Supplies,6
Organism Forms,6
"Surgical Procedures, Operative",6
Animal Structures,3
Biomedical and Dental Materials,3
Chemically-Induced Disorders,3
Anesthesia and Analgesia,2
Education,2
Non-Medical Public and Private Facilities,2
Pharmaceutical Preparations,2
Urogenital System,2
Archaea,1
Musculoskeletal Diseases,1
Stomatognathic System,1
Viral Structures,1
