notebook,error,description
https://w3id.org/reproduceme/notebook_24829,https://w3id.org/reproduceme/E711,comparison to None should be 'if cond is None:'
https://w3id.org/reproduceme/notebook_6361,https://w3id.org/reproduceme/E711,comparison to None should be 'if cond is None:'
https://w3id.org/reproduceme/notebook_16999,https://w3id.org/reproduceme/E711,comparison to None should be 'if cond is None:'
https://w3id.org/reproduceme/notebook_24760,https://w3id.org/reproduceme/E711,comparison to None should be 'if cond is None:'
https://w3id.org/reproduceme/notebook_24825,https://w3id.org/reproduceme/E711,comparison to None should be 'if cond is None:'
https://w3id.org/reproduceme/notebook_26121,https://w3id.org/reproduceme/E711,comparison to None should be 'if cond is None:'
https://w3id.org/reproduceme/notebook_1386,https://w3id.org/reproduceme/E711,comparison to None should be 'if cond is None:'
https://w3id.org/reproduceme/notebook_24874,https://w3id.org/reproduceme/E711,comparison to None should be 'if cond is None:'
https://w3id.org/reproduceme/notebook_16823,https://w3id.org/reproduceme/E711,comparison to None should be 'if cond is None:'
https://w3id.org/reproduceme/notebook_19134,https://w3id.org/reproduceme/E711,comparison to None should be 'if cond is None:'
